datetime,Date,Hour,Station,demand,temp,rhum,prcp,wspd,pres,cldc,coco,day_of_week,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday,demand_lag_1h,demand_lag_2h,demand_lag_3h,demand_lag_24h,demand_lag_168h,target_next_hour,rolling_mean_3h,rolling_mean_6h,rolling_mean_24h,day_of_week_num,month_num,hour_sin,hour_cos
2025-08-11 17:00:00,2025-08-11,17,Huskur Road,131,20.8,90,0.0,13.0,1012.7,8,3.0,Monday,0,0,0,1,0,0,128.0,95.0,98.0,,,199.0,113.0,107.57142857142857,61.0,0,8,-0.9659258262890683,-0.25881904510252063
2025-08-11 18:00:00,2025-08-11,18,Huskur Road,199,21.4,91,0.0,5.4,1012.7,7,3.0,Monday,0,0,0,1,0,0,131.0,128.0,95.0,,,212.0,138.25,123.0,68.26315789473684,0,8,-1.0,-1.8369701987210297e-16
2025-08-11 19:00:00,2025-08-11,19,Huskur Road,212,20.3,96,0.0,12.6,1012.0,8,3.0,Monday,0,0,0,1,0,0,199.0,131.0,128.0,,,102.0,167.5,136.28571428571428,75.45,0,8,-0.9659258262890684,0.2588190451025203
2025-08-11 20:00:00,2025-08-11,20,Huskur Road,102,20.0,97,0.0,14.4,1011.1,8,3.0,Monday,0,0,0,1,0,0,212.0,199.0,131.0,,,71.0,161.0,137.85714285714286,76.71428571428571,0,8,-0.8660254037844386,0.5000000000000001
2025-08-11 21:00:00,2025-08-11,21,Huskur Road,71,21.0,90,0.0,5.4,1010.2,7,3.0,Monday,0,0,0,1,0,0,102.0,212.0,199.0,,,42.0,146.0,134.0,76.45454545454545,0,8,-0.7071067811865477,0.7071067811865474
2025-08-11 22:00:00,2025-08-11,22,Huskur Road,42,19.3,97,0.0,15.1,1009.8,8,3.0,Monday,0,0,0,1,0,0,71.0,102.0,212.0,,,0.0,106.75,126.42857142857143,74.95652173913044,0,8,-0.5000000000000004,0.8660254037844384
2025-08-11 23:00:00,2025-08-11,23,Huskur Road,0,19.2,97,0.0,15.5,1010.0,8,3.0,Monday,0,0,0,1,0,0,42.0,71.0,102.0,,,0.0,53.75,108.14285714285714,71.83333333333333,0,8,-0.25881904510252157,0.9659258262890681
2025-08-12 00:00:00,2025-08-12,0,Huskur Road,0,20.6,93,0.0,5.4,1010.2,7,3.0,Tuesday,0,0,0,1,0,0,0.0,42.0,71.0,0.0,,0.0,28.25,89.42857142857143,68.96,1,8,0.0,1.0
2025-08-12 01:00:00,2025-08-12,1,Huskur Road,0,19.2,97,0.0,14.8,1010.8,8,3.0,Tuesday,0,0,0,1,0,0,0.0,0.0,42.0,0.0,,0.0,10.5,61.0,68.96,1,8,0.25881904510252074,0.9659258262890683
2025-08-12 02:00:00,2025-08-12,2,Huskur Road,0,19.4,95,0.0,16.6,1011.5,8,3.0,Tuesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,30.714285714285715,68.96,1,8,0.49999999999999994,0.8660254037844387
